bank_entry_id,bank_reference,narration,credit_amount_minor,debit_amount_minor,currency,value_date,settlement_timestamp
BNK_3315,UPI/1192**/SBIN,UPI/CR/1192**/RELIPAY/0039482710/RZPNOISY119209,157918,0,INR,2026-03-16,2026-03-16T01:39:00+00:00
BNK_3102,RTGS/KKBK/RZP-BATCH-844213,RTGS/RZP-BATCH-844213/MERCHANT-SETTLE,143600,0,INR,2026-03-03,2026-03-03T08:18:00+00:00
BNK_3281,CMS/UTIB/RZP-PO-206940,CMS/RZP-PO-206940/BLNK,213640,0,INR,2026-03-20,2026-03-20T04:26:00+00:00
BNK_3118,CMS/YESB/RZP-PO-307666,CMS/RZP-PO-307666/BLNK,196500,0,INR,2026-03-11,2026-03-11T10:01:00+00:00
BNK_3190,CMS/UTIB/RZP-PO-883351,CMS/RZP-PO-883351/UBER,182900,0,INR,2026-03-12,2026-03-12T16:27:00+00:00
BNK_3071,CMS/KKBK/RZP-PO-444327,CMS/RZP-PO-444327/MYNT,79990,0,INR,2026-03-21,2026-03-21T03:24:00+00:00
BNK_3348,RTGS/SBIN/RZP-BATCH-842115,RTGS/RZP-BATCH-842115/MERCHANT-SETTLE,210427,0,INR,2026-03-05,2026-03-05T00:36:00+00:00
BNK_3002,RTGS/KKBK/RZP-BATCH-754846,RTGS/RZP-BATCH-754846/MERCHANT-SETTLE,305408,0,INR,2026-03-16,2026-03-16T11:23:00+00:00
BNK_3183,CMS/SBIN/RZP-PO-693644,NEFT/RZP-PO-693644/SETTL/TATA,118184,0,INR,2026-03-14,2026-03-14T21:51:00+00:00
BNK_3222,CMS/YESB/RZP-PO-716229,CMS/RZP-PO-716229/SWIG,246410,0,INR,2026-03-23,2026-03-23T04:32:00+00:00
BNK_3205,NEFT/HDFC/RZP-DELAY-840268,NEFT/RZP-DELAY-840268/BLNK,55190,0,INR,2026-03-14,2026-03-14T01:28:00+00:00
BNK_3136,CMS/SBIN/RZP-PO-812624,CMS/RZP-PO-812624/UBER,131050,0,INR,2026-03-10,2026-03-10T03:21:00+00:00
BNK_3013,CMS/UTIB/RZP-PO-663696,NEFT/RZP-PO-663696/SETTL/BLNK,61777,0,INR,2026-03-12,2026-03-12T22:11:00+00:00
BNK_3253,CMS/ICIC/RZP-PO-239317,CMS/RZP-PO-239317/MYNT,48340,0,INR,2026-03-11,2026-03-11T19:31:00+00:00
BNK_3132,CMS/YESB/RZP-PO-582917,CMS/RZP-PO-582917/FLIP,124250,0,INR,2026-03-10,2026-03-10T07:13:00+00:00
BNK_3327,CMS/SBIN/RZP-REV-238740,CMS/RZP-REV-238740/ADJUSTED/AMZN,34071,0,INR,2026-03-05,2026-03-05T13:46:00+00:00
BNK_3129,NEFT/KKBK/RZP-SPLIT-372183/PART2,NEFT/RZP-SPLIT-372183/PART2/RELI,80066,0,INR,2026-03-17,2026-03-17T16:39:00+00:00
BNK_3387,RTGS/YESB/RZP-BATCH-565505,RTGS/RZP-BATCH-565505/MERCHANT-SETTLE,147629,0,INR,2026-03-11,2026-03-11T01:50:00+00:00
BNK_3233,CMS/SBIN/RZP-REV-428890,CMS/RZP-REV-428890/ADJUSTED/RELI,99194,0,INR,2026-03-07,2026-03-07T06:45:00+00:00
BNK_3162,NEFT/KKBK/RZP-SPLIT-919347/PART1,NEFT/RZP-SPLIT-919347/PART1/SWIG,30698,0,INR,2026-03-02,2026-03-02T02:14:00+00:00
BNK_3296,CMS/UTIB/RZP-PO-315071,CMS/RZP-PO-315071/AMZN,249290,0,INR,2026-03-22,2026-03-22T12:13:00+00:00
BNK_3116,CMS/UTIB/RZP-PO-136015,NEFT/RZP-PO-136015/SETTL/FLIP,150249,0,INR,2026-03-11,2026-03-11T20:55:00+00:00
BNK_3043,UPI/5639**/SBIN,UPI/CR/5639**/TATAPAY/0039482710/RZPNOISY563937,145178,0,INR,2026-03-20,2026-03-20T22:13:00+00:00
BNK_3130,CMS/KKBK/RZP-PO-102744,NEFT/RZP-PO-102744/SETTL/UBER,13026,0,INR,2026-03-19,2026-03-19T20:01:00+00:00
BNK_3295,CMS/KKBK/RZP-PO-711247,CMS/RZP-PO-711247/AMZN,36920,0,INR,2026-03-20,2026-03-20T04:16:00+00:00
BNK_3144,UPI/6927**/ICIC,UPI/CR/6927**/SWIGPAY/0039482710/RZPNOISY692706,86897,0,INR,2026-03-09,2026-03-09T08:47:00+00:00
BNK_3393,CMS/UTIB/RZP-ERR-298767,CMS/RZP-ERR-298767/ZOMA,40460,0,INR,2026-03-06,2026-03-06T03:52:00+00:00
BNK_3170,CMS/YESB/RZP-PO-976470,NEFT/RZP-PO-976470/SETTL/TATA,80085,0,INR,2026-03-22,2026-03-22T03:20:00+00:00
BNK_3321,NEFT/KKBK/RZP-SPLIT-198279/PART2,NEFT/RZP-SPLIT-198279/PART2/RELI,34594,0,INR,2026-03-15,2026-03-15T18:41:00+00:00
BNK_3052,NEFT/HDFC/RZP-SPLIT-985606/PART1,NEFT/RZP-SPLIT-985606/PART1/AMZN,88930,0,INR,2026-03-15,2026-03-15T07:16:00+00:00
BNK_3279,CMS/UTIB/RZP-PO-470912,CMS/RZP-PO-470912/NYKA,89510,0,INR,2026-03-21,2026-03-21T10:52:00+00:00
BNK_3137,NEFT/HDFC/RZP-DELAY-121186,NEFT/RZP-DELAY-121186/BLNK,38870,0,INR,2026-03-08,2026-03-08T10:57:00+00:00
BNK_3031,UPI/6240**/KKBK,UPI/CR/6240**/NYKAPAY/0039482710/RZPNOISY624088,129635,0,INR,2026-03-08,2026-03-08T07:57:00+00:00
BNK_3198,NEFT/ICIC/RZP-DELAY-182735,NEFT/RZP-DELAY-182735/RELI,194010,0,INR,2026-03-14,2026-03-14T02:36:00+00:00
BNK_3200,CMS/UTIB/RZP-REV-749378,CMS/RZP-REV-749378/ADJUSTED/BLNK,43268,0,INR,2026-03-10,2026-03-10T20:49:00+00:00
BNK_3307,RTGS/ICIC/RZP-BATCH-751084,RTGS/RZP-BATCH-751084/MERCHANT-SETTLE,176451,0,INR,2026-03-16,2026-03-16T06:37:00+00:00
BNK_3242,CMS/HDFC/RZP-PO-903530,CMS/RZP-PO-903530/MYNT,88450,0,INR,2026-03-04,2026-03-04T04:27:00+00:00
BNK_3305,NEFT/SBIN/RZP-DELAY-417732,NEFT/RZP-DELAY-417732/UBER,13220,0,INR,2026-03-20,2026-03-20T09:24:00+00:00
BNK_3300,RTGS/ICIC/RZP-BATCH-530459,RTGS/RZP-BATCH-530459/MERCHANT-SETTLE,292639,0,INR,2026-03-18,2026-03-18T00:50:00+00:00
BNK_3098,CMS/KKBK/RZP-PO-890391,NEFT/RZP-PO-890391/SETTL/AMZN,237744,0,INR,2026-03-03,2026-03-03T02:46:00+00:00
BNK_3059,CMS/KKBK/RZP-PO-558851,NEFT/RZP-PO-558851/SETTL/FLIP,181455,0,INR,2026-03-19,2026-03-19T02:45:00+00:00
BNK_3278,CMS/SBIN/RZP-PO-462341,CMS/RZP-PO-462341/FLIP,210500,0,INR,2026-03-15,2026-03-15T13:37:00+00:00
BNK_3122,RTGS/HDFC/RZP-BATCH-407708,RTGS/RZP-BATCH-407708/MERCHANT-SETTLE,238513,0,INR,2026-03-12,2026-03-12T12:05:00+00:00
BNK_3120,NEFT/ICIC/RZP-DELAY-540252,NEFT/RZP-DELAY-540252/RELI,67840,0,INR,2026-03-20,2026-03-20T14:30:00+00:00
BNK_3385,NEFT/KKBK/RZP-DELAY-412638,NEFT/RZP-DELAY-412638/UBER,225830,0,INR,2026-03-21,2026-03-21T17:16:00+00:00
BNK_3100,CMS/YESB/RZP-PO-915276,CMS/RZP-PO-915276/SWIG,156650,0,INR,2026-03-10,2026-03-10T09:15:00+00:00
BNK_3374,CMS/UTIB/RZP-PO-718954,CMS/RZP-PO-718954/SWIG,131590,0,INR,2026-03-15,2026-03-15T11:38:00+00:00
BNK_3075,CMS/HDFC/RZP-PO-465338,CMS/RZP-PO-465338/SWIG,31870,0,INR,2026-03-20,2026-03-20T20:51:00+00:00
BNK_3078,NEFT/HDFC/RZP-DELAY-408081,NEFT/RZP-DELAY-408081/NYKA,69550,0,INR,2026-03-12,2026-03-12T17:24:00+00:00
BNK_3391,GENERIC/SETTLE/YESB,GENERIC SETTLEMENT CREDIT 742348,34660,0,INR,2026-03-16,2026-03-16T18:36:00+00:00
BNK_3377,CMS/KKBK/RZP-PO-807678,CMS/RZP-PO-807678/NYKA,235320,0,INR,2026-03-12,2026-03-12T22:12:00+00:00
BNK_3299,CMS/ICIC/RZP-PO-298968,CMS/RZP-PO-298968/MYNT,231840,0,INR,2026-03-18,2026-03-18T13:18:00+00:00
BNK_3187,CMS/ICIC/RZP-PO-173699,CMS/RZP-PO-173699/MYNT,63960,0,INR,2026-03-11,2026-03-11T00:03:00+00:00
