payout_id,gateway_name,gateway_reference,gross_amount_minor,processing_fee_minor,refund_amount_minor,chargeback_amount_minor,net_settlement_amount_minor,currency,settlement_timestamp,batch_token
PO_B17_000001,Cashfree Escrow,PAYT-EXC-856242-UNRESOLVED,289324,5776,0,0,283548,INR,2026-08-20T06:47:00Z,HOLD-ESCROW
PO_B17_000002,BillDesk Settlement,BLNK-EXC-614355-UNRESOLVED,109171,2173,0,0,106998,INR,2026-08-19T17:30:00Z,HOLD-ESCROW
PO_B17_000003,Razorpay Nodal,PHNP-ORD-170481 PHNP-ORD-710218 BATCH-PHNP-0003,305281,6105,0,0,299176,INR,2026-08-19T06:25:00Z,BATCH-PHNP-0003
PO_B17_000004,PayU Enterprise,UBER-INV-976302 PO_B17_000004,213131,3496,0,0,209635,INR,2026-08-19T12:49:00Z,BATCH-UBER-0004
PO_B17_000005,Stripe India,OLAA-INV-333634 PO_B17_000005,49993,782,0,0,49211,INR,2026-08-19T08:23:00Z,BATCH-OLAA-0005
PO_B17_000006,Razorpay Nodal,SWIG-INV-760624 PO_B17_000006,163311,2972,0,0,160339,INR,2026-08-18T23:51:00Z,BATCH-SWIG-0006
PO_B17_000007,BillDesk Settlement,BLNK-INV-190094 PO_B17_000007,350395,8035,0,0,342360,INR,2026-08-19T19:02:00Z,BATCH-BLNK-0007
PO_B17_000008,Stripe India,ZOMA-INV-314335 PO_B17_000008,236885,4076,0,0,232809,INR,2026-08-19T23:23:00Z,BATCH-ZOMA-0008
PO_B17_000009,Cashfree Escrow,SWIG-INV-340008 PO_B17_000009,225906,5520,0,0,220386,INR,2026-08-18T23:50:00Z,BATCH-SWIG-0009
PO_B17_000010,BillDesk Settlement,MYNT-INV-156681 PO_B17_000010,47871,885,0,0,46986,INR,2026-08-19T06:57:00Z,BATCH-MYNT-0010
PO_B17_000011,BillDesk Settlement,AMZN-INV-879100 PO_B17_000011,160899,3213,0,0,157686,INR,2026-08-18T15:03:00Z,BATCH-AMZN-0011
PO_B17_000012,Stripe India,PHNP-INV-205096 PO_B17_000012,157842,3650,0,0,154192,INR,2026-08-19T11:11:00Z,BATCH-PHNP-0012
