transaction_id,customer_reference,order_id,gross_amount_minor,net_amount_minor,currency,created_at,counterparty_name,payment_method,status
TXN_B17_000001,PAYT-EXC-856242,ORD-PAYT-EXC-856242,288824,283048,INR,2026-08-19T06:47:00Z,Paytm One97 Communications,RTGS,PENDING
TXN_B17_000002,BLNK-EXC-614355,ORD-BLNK-EXC-614355,108671,106498,INR,2026-08-18T17:30:00Z,Blinkit Commerce Pvt Ltd,UPI,PENDING
TXN_B17_000003,PHNP-ORD-170481,ORD-PHNP-ORD-170481,94577,92686,INR,2026-08-18T18:25:00Z,PhonePe Payment Services,CreditCard,SETTLED
TXN_B17_000004,PHNP-ORD-710218,ORD-PHNP-ORD-710218,210704,206490,INR,2026-08-18T18:40:00Z,PhonePe Payment Services,CreditCard,SETTLED
TXN_B17_000005,UBER-INV-976302,ORD-UBER-INV-976302,213131,209635,INR,2026-08-19T02:49:00Z,Uber India Systems Pvt Ltd,RTGS,SETTLED
TXN_B17_000006,OLAA-INV-333634,ORD-OLAA-INV-333634,49993,49211,INR,2026-08-18T17:23:00Z,Ola ANI Technologies,CreditCard,SETTLED
TXN_B17_000007,SWIG-INV-760624,ORD-SWIG-INV-760624,163311,160339,INR,2026-08-18T15:51:00Z,Swiggy Bundl Technologies,CreditCard,SETTLED
TXN_B17_000008,BLNK-INV-190094,ORD-BLNK-INV-190094,350395,342360,INR,2026-08-19T03:02:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
TXN_B17_000009,ZOMA-INV-314335,ORD-ZOMA-INV-314335,236885,232809,INR,2026-08-19T05:23:00Z,Zomato Limited,RTGS,SETTLED
TXN_B17_000010,SWIG-INV-340008,ORD-SWIG-INV-340008,225906,220386,INR,2026-08-18T19:50:00Z,Swiggy Bundl Technologies,CreditCard,SETTLED
TXN_B17_000011,MYNT-INV-156681,ORD-MYNT-INV-156681,47871,46986,INR,2026-08-18T20:57:00Z,Myntra Designs Pvt Ltd,RTGS,SETTLED
TXN_B17_000012,AMZN-INV-879100,ORD-AMZN-INV-879100,160899,157686,INR,2026-08-18T11:03:00Z,Amazon Seller Services India,NetBanking,SETTLED
TXN_B17_000013,PHNP-INV-205096,ORD-PHNP-INV-205096,157842,154192,INR,2026-08-19T02:11:00Z,PhonePe Payment Services,RTGS,SETTLED
TXN_B17_000014,UBER-ORD-780466,ORD-UBER-ORD-780466,242032,237192,INR,2026-08-18T19:18:00Z,Uber India Systems Pvt Ltd,DebitCard,SETTLED
TXN_B17_000015,UBER-ORD-360059,ORD-UBER-ORD-360059,108041,105881,INR,2026-08-18T19:33:00Z,Uber India Systems Pvt Ltd,DebitCard,SETTLED
TXN_B17_000016,PHNP-ORD-610127,ORD-PHNP-ORD-610127,184467,180778,INR,2026-08-19T00:51:00Z,PhonePe Payment Services,NetBanking,SETTLED
TXN_B17_000017,PHNP-ORD-424956,ORD-PHNP-ORD-424956,89121,87339,INR,2026-08-19T01:06:00Z,PhonePe Payment Services,NetBanking,SETTLED
TXN_B17_000018,ZOMA-EXC-739246,ORD-ZOMA-EXC-739246,204150,200067,INR,2026-08-18T12:17:00Z,Zomato Limited,DebitCard,PENDING
TXN_B17_000019,TATA-INV-123597,ORD-TATA-INV-123597,294808,287762,INR,2026-08-18T17:47:00Z,Tata Digital Private Limited,RTGS,SETTLED
TXN_B17_000020,BLNK-INV-303559,ORD-BLNK-INV-303559,54144,53290,INR,2026-08-19T08:11:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
TXN_B17_000021,AMZN-INV-709352,ORD-AMZN-INV-709352,138422,135296,INR,2026-08-19T07:44:00Z,Amazon Seller Services India,CreditCard,SETTLED
TXN_B17_000022,PAYT-ORD-287019,ORD-PAYT-ORD-287019,156187,153064,INR,2026-08-18T10:17:00Z,Paytm One97 Communications,UPI,SETTLED
TXN_B17_000023,PAYT-ORD-549887,ORD-PAYT-ORD-549887,187483,183734,INR,2026-08-18T10:32:00Z,Paytm One97 Communications,UPI,SETTLED
TXN_B17_000024,PAYT-ORD-170122,ORD-PAYT-ORD-170122,75537,74027,INR,2026-08-18T10:47:00Z,Paytm One97 Communications,UPI,SETTLED
TXN_B17_000025,FLPK-ORD-766055,ORD-FLPK-ORD-766055,42673,41820,INR,2026-08-18T22:48:00Z,Flipkart Internet Pvt Ltd,CreditCard,SETTLED
TXN_B17_000026,FLPK-ORD-523728,ORD-FLPK-ORD-523728,197351,193404,INR,2026-08-18T23:03:00Z,Flipkart Internet Pvt Ltd,CreditCard,SETTLED
TXN_B17_000027,JIOO-INV-468216,ORD-JIOO-INV-468216,394426,385361,INR,2026-08-19T00:35:00Z,Reliance Retail / Jio Platforms,NetBanking,SETTLED
TXN_B17_000028,AMZN-INV-811449,ORD-AMZN-INV-811449,264860,258963,INR,2026-08-18T17:26:00Z,Amazon Seller Services India,UPI,SETTLED
TXN_B17_000029,NYKA-INV-633580,ORD-NYKA-INV-633580,387537,379622,INR,2026-08-19T01:04:00Z,Nykaa E-Retail Pvt Ltd,CreditCard,SETTLED
TXN_B17_000030,BLNK-ORD-551770,ORD-BLNK-ORD-551770,163353,160086,INR,2026-08-19T04:51:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
TXN_B17_000031,BLNK-ORD-318702,ORD-BLNK-ORD-318702,247951,242992,INR,2026-08-19T05:06:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
TXN_B17_000032,BLNK-ORD-178560,ORD-BLNK-ORD-178560,192579,188728,INR,2026-08-19T05:21:00Z,Blinkit Commerce Pvt Ltd,NetBanking,SETTLED
TXN_B17_000033,PAYT-INV-190429,ORD-PAYT-INV-190429,321376,315033,INR,2026-08-19T05:47:00Z,Paytm One97 Communications,CreditCard,SETTLED
TXN_B17_000034,SWIG-EXC-790984,ORD-SWIG-EXC-790984,194817,190921,INR,2026-08-19T03:18:00Z,Swiggy Bundl Technologies,RTGS,PENDING
