payout_id,gateway_name,gateway_reference,gross_amount_minor,processing_fee_minor,refund_amount_minor,chargeback_amount_minor,net_settlement_amount_minor,currency,settlement_timestamp,batch_token
PO_B05_000001,Cashfree Escrow,MMTR-INV-822307 PO_B05_000001,168457,3601,0,0,164856,INR,2026-08-06T23:34:00Z,BATCH-MMTR-0001
PO_B05_000002,Razorpay Nodal,NYKA-ORD-763001 NYKA-ORD-654334 NYKA-ORD-545723 BATCH-NYKA-0002,398187,7963,0,0,390224,INR,2026-08-07T02:09:00Z,BATCH-NYKA-0002
PO_B05_000003,PayU Enterprise,JIOO-INV-685407 PO_B05_000003,81687,2036,0,0,79651,INR,2026-08-07T08:38:00Z,BATCH-JIOO-0003
PO_B05_000004,PayU Enterprise,BLNK-INV-995787 PO_B05_000004,117816,2299,0,0,115517,INR,2026-08-06T22:53:00Z,BATCH-BLNK-0004
PO_B05_000005,Cashfree Escrow,NYKA-INV-288122 PO_B05_000005,437510,10727,0,0,426783,INR,2026-08-06T22:08:00Z,BATCH-NYKA-0005
PO_B05_000006,BillDesk Settlement,BLNK-INV-436043 PO_B05_000006,280504,5629,0,0,274875,INR,2026-08-07T21:34:00Z,BATCH-BLNK-0006
PO_B05_000007,PayU Enterprise,BBAS-INV-194961 PO_B05_000007,42883,782,0,0,42101,INR,2026-08-06T16:48:00Z,BATCH-BBAS-0007
PO_B05_000008,Stripe India,MYNT-INV-235315 PO_B05_000008,34264,558,0,0,33706,INR,2026-08-07T04:05:00Z,BATCH-MYNT-0008
PO_B05_000009,Stripe India,OLAA-ORD-936678 OLAA-ORD-112345 BATCH-OLAA-0009,202788,4055,0,0,198733,INR,2026-08-07T14:13:00Z,BATCH-OLAA-0009
PO_B05_000010,Razorpay Nodal,FLPK-INV-186893 PO_B05_000010,96597,1982,0,0,94615,INR,2026-08-07T13:23:00Z,BATCH-FLPK-0010
PO_B05_000011,BillDesk Settlement,SWIG-ORD-576360 SWIG-ORD-665086 BATCH-SWIG-0011,254357,5087,0,0,249270,INR,2026-08-07T03:25:00Z,BATCH-SWIG-0011
PO_B05_000012,Cashfree Escrow,UBER-ORD-345051 UBER-ORD-738997 BATCH-UBER-0012,331399,6627,0,0,324772,INR,2026-08-07T02:50:00Z,BATCH-UBER-0012
