transaction_id,customer_reference,order_id,gross_amount_minor,net_amount_minor,currency,created_at,counterparty_name,payment_method,status
TXN_B19_000001,TATA-INV-359808,ORD-TATA-INV-359808,298842,291782,INR,2026-08-20T15:20:00Z,Tata Digital Private Limited,RTGS,SETTLED
TXN_B19_000002,PHNP-ORD-832839,ORD-PHNP-ORD-832839,35793,35078,INR,2026-08-20T16:04:00Z,PhonePe Payment Services,RTGS,SETTLED
TXN_B19_000003,PHNP-ORD-612108,ORD-PHNP-ORD-612108,232206,227562,INR,2026-08-20T16:19:00Z,PhonePe Payment Services,RTGS,SETTLED
TXN_B19_000004,ZOMA-ORD-770774,ORD-ZOMA-ORD-770774,210928,206710,INR,2026-08-20T09:43:00Z,Zomato Limited,NetBanking,SETTLED
TXN_B19_000005,ZOMA-ORD-345325,ORD-ZOMA-ORD-345325,112092,109851,INR,2026-08-20T09:58:00Z,Zomato Limited,NetBanking,SETTLED
TXN_B19_000006,ZOMA-ORD-256110,ORD-ZOMA-ORD-256110,29056,28475,INR,2026-08-20T10:13:00Z,Zomato Limited,NetBanking,SETTLED
TXN_B19_000007,UBER-INV-650421,ORD-UBER-INV-650421,180771,177336,INR,2026-08-20T11:10:00Z,Uber India Systems Pvt Ltd,RTGS,SETTLED
TXN_B19_000008,AMZN-ORD-901226,ORD-AMZN-ORD-901226,146714,143780,INR,2026-08-21T07:05:00Z,Amazon Seller Services India,UPI,SETTLED
TXN_B19_000009,AMZN-ORD-130721,ORD-AMZN-ORD-130721,17109,16767,INR,2026-08-21T07:20:00Z,Amazon Seller Services India,UPI,SETTLED
TXN_B19_000010,PAYT-ORD-108547,ORD-PAYT-ORD-108547,119969,117570,INR,2026-08-21T04:57:00Z,Paytm One97 Communications,UPI,SETTLED
TXN_B19_000011,PAYT-ORD-646125,ORD-PAYT-ORD-646125,102935,100877,INR,2026-08-21T05:12:00Z,Paytm One97 Communications,UPI,SETTLED
TXN_B19_000012,TATA-INV-309547,ORD-TATA-INV-309547,215787,212220,INR,2026-08-20T11:47:00Z,Tata Digital Private Limited,UPI,SETTLED
TXN_B19_000013,BBAS-INV-496438,ORD-BBAS-INV-496438,234754,229803,INR,2026-08-20T19:08:00Z,BigBasket Supermarket Grocery,UPI,SETTLED
TXN_B19_000014,PAYT-INV-976733,ORD-PAYT-INV-976733,310223,304184,INR,2026-08-21T01:50:00Z,Paytm One97 Communications,CreditCard,SETTLED
TXN_B19_000015,MMTR-ORD-649855,ORD-MMTR-ORD-649855,173669,170196,INR,2026-08-20T16:49:00Z,MakeMyTrip India Pvt Ltd,NetBanking,SETTLED
TXN_B19_000016,MMTR-ORD-208719,ORD-MMTR-ORD-208719,236906,232168,INR,2026-08-20T17:04:00Z,MakeMyTrip India Pvt Ltd,NetBanking,SETTLED
TXN_B19_000017,TATA-INV-272231,ORD-TATA-INV-272231,309509,302330,INR,2026-08-20T13:59:00Z,Tata Digital Private Limited,DebitCard,SETTLED
TXN_B19_000018,BLNK-INV-661178,ORD-BLNK-INV-661178,137046,134202,INR,2026-08-20T21:59:00Z,Blinkit Commerce Pvt Ltd,DebitCard,SETTLED
TXN_B19_000019,NYKA-ORD-522928,ORD-NYKA-ORD-522928,199953,195954,INR,2026-08-20T23:15:00Z,Nykaa E-Retail Pvt Ltd,UPI,SETTLED
TXN_B19_000020,NYKA-ORD-230642,ORD-NYKA-ORD-230642,164563,161272,INR,2026-08-20T23:30:00Z,Nykaa E-Retail Pvt Ltd,UPI,SETTLED
TXN_B19_000021,NYKA-ORD-465192,ORD-NYKA-ORD-465192,45167,44264,INR,2026-08-20T23:45:00Z,Nykaa E-Retail Pvt Ltd,UPI,SETTLED
