payout_id,gateway_name,gateway_reference,gross_amount_minor,processing_fee_minor,refund_amount_minor,chargeback_amount_minor,net_settlement_amount_minor,currency,settlement_timestamp,batch_token
PO_B19_000001,BillDesk Settlement,TATA-INV-359808 PO_B19_000001,298842,7060,0,0,291782,INR,2026-08-20T21:20:00Z,BATCH-TATA-0001
PO_B19_000002,PayU Enterprise,PHNP-ORD-832839 PHNP-ORD-612108 BATCH-PHNP-0002,267999,5359,0,0,262640,INR,2026-08-21T04:04:00Z,BATCH-PHNP-0002
PO_B19_000003,Cashfree Escrow,ZOMA-ORD-770774 ZOMA-ORD-345325 ZOMA-ORD-256110 BATCH-ZOMA-0003,352076,7041,0,0,345035,INR,2026-08-20T21:43:00Z,BATCH-ZOMA-0003
PO_B19_000004,BillDesk Settlement,UBER-INV-650421 PO_B19_000004,180771,3435,0,0,177336,INR,2026-08-21T02:10:00Z,BATCH-UBER-0004
PO_B19_000005,BillDesk Settlement,AMZN-ORD-901226 AMZN-ORD-130721 BATCH-AMZN-0005,163823,3276,0,0,160547,INR,2026-08-21T19:05:00Z,BATCH-AMZN-0005
PO_B19_000006,Razorpay Nodal,PAYT-ORD-108547 PAYT-ORD-646125 BATCH-PAYT-0006,222904,4458,0,0,218446,INR,2026-08-21T16:57:00Z,BATCH-PAYT-0006
PO_B19_000007,PayU Enterprise,TATA-INV-309547 PO_B19_000007,215787,3567,0,0,212220,INR,2026-08-20T16:47:00Z,BATCH-TATA-0007
PO_B19_000008,PayU Enterprise,BBAS-INV-496438 PO_B19_000008,234754,4951,0,0,229803,INR,2026-08-21T02:08:00Z,BATCH-BBAS-0008
PO_B19_000009,BillDesk Settlement,PAYT-INV-976733 PO_B19_000009,310223,6039,0,0,304184,INR,2026-08-21T16:50:00Z,BATCH-PAYT-0009
PO_B19_000010,PayU Enterprise,MMTR-ORD-649855 MMTR-ORD-208719 BATCH-MMTR-0010,410575,8211,0,0,402364,INR,2026-08-21T04:49:00Z,BATCH-MMTR-0010
PO_B19_000011,BillDesk Settlement,TATA-INV-272231 PO_B19_000011,309509,7179,0,0,302330,INR,2026-08-21T05:59:00Z,BATCH-TATA-0011
PO_B19_000012,BillDesk Settlement,BLNK-INV-661178 PO_B19_000012,137046,2844,0,0,134202,INR,2026-08-21T07:59:00Z,BATCH-BLNK-0012
PO_B19_000013,Cashfree Escrow,NYKA-ORD-522928 NYKA-ORD-230642 NYKA-ORD-465192 BATCH-NYKA-0013,409683,8193,0,0,401490,INR,2026-08-21T11:15:00Z,BATCH-NYKA-0013
PO_B19_000014,BillDesk Settlement,PAYT-INV-588185 PO_B19_000014,230157,4727,0,0,225430,INR,2026-08-21T13:21:00Z,BATCH-PAYT-0014
PO_B19_000015,Razorpay Nodal,PAYT-INV-231743 PO_B19_000015,131447,2899,0,0,128548,INR,2026-08-20T20:41:00Z,BATCH-PAYT-0015
PO_B19_000016,Razorpay Nodal,UBER-EXC-767394-UNRESOLVED,69540,1380,0,0,68160,INR,2026-08-21T21:02:00Z,HOLD-ESCROW
PO_B19_000017,BillDesk Settlement,NYKA-INV-689158 PO_B19_000017,205127,3540,0,0,201587,INR,2026-08-21T08:52:00Z,BATCH-NYKA-0017
PO_B19_000018,Razorpay Nodal,JIOO-INV-454559 PO_B19_000018,115536,2260,0,0,113276,INR,2026-08-22T00:19:00Z,BATCH-JIOO-0018
PO_B19_000019,BillDesk Settlement,PAYT-EXC-324944-UNRESOLVED,74016,1470,0,0,72546,INR,2026-08-22T04:53:00Z,HOLD-ESCROW
PO_B19_000020,PayU Enterprise,BKMS-ORD-566316 BKMS-ORD-654038 BKMS-ORD-933520 BATCH-BKMS-0020,307625,6152,0,0,301473,INR,2026-08-21T01:49:00Z,BATCH-BKMS-0020
PO_B19_000021,Stripe India,BLNK-INV-712875 PO_B19_000021,227844,4051,0,0,223793,INR,2026-08-20T22:18:00Z,BATCH-BLNK-0021
PO_B19_000022,Razorpay Nodal,BBAS-INV-444110 PO_B19_000022,80792,1499,0,0,79293,INR,2026-08-21T07:52:00Z,BATCH-BBAS-0022
