transaction_id,customer_reference,order_id,gross_amount_minor,net_amount_minor,currency,created_at,counterparty_name,payment_method,status
TXN_B18_000001,BKMS-INV-246667,ORD-BKMS-INV-246667,130721,128208,INR,2026-08-19T14:41:00Z,BookMyShow Bigtree Entertainment,DebitCard,SETTLED
TXN_B18_000002,FLPK-INV-738545,ORD-FLPK-INV-738545,129673,127476,INR,2026-08-19T18:33:00Z,Flipkart Internet Pvt Ltd,RTGS,SETTLED
TXN_B18_000003,MMTR-ORD-900999,ORD-MMTR-ORD-900999,157903,154745,INR,2026-08-19T17:52:00Z,MakeMyTrip India Pvt Ltd,UPI,SETTLED
TXN_B18_000004,MMTR-ORD-132623,ORD-MMTR-ORD-132623,214491,210202,INR,2026-08-19T18:07:00Z,MakeMyTrip India Pvt Ltd,UPI,SETTLED
TXN_B18_000005,FLPK-INV-204615,ORD-FLPK-INV-204615,157097,154340,INR,2026-08-20T07:48:00Z,Flipkart Internet Pvt Ltd,NEFT,SETTLED
TXN_B18_000006,UBER-ORD-125014,ORD-UBER-ORD-125014,169081,165700,INR,2026-08-20T03:30:00Z,Uber India Systems Pvt Ltd,UPI,SETTLED
TXN_B18_000007,UBER-ORD-958410,ORD-UBER-ORD-958410,153190,150127,INR,2026-08-20T03:45:00Z,Uber India Systems Pvt Ltd,UPI,SETTLED
TXN_B18_000008,JIOO-INV-256041,ORD-JIOO-INV-256041,323640,315842,INR,2026-08-20T02:33:00Z,Reliance Retail / Jio Platforms,CreditCard,SETTLED
TXN_B18_000009,PAYT-EXC-869600,ORD-PAYT-EXC-869600,108647,106475,INR,2026-08-20T06:33:00Z,Paytm One97 Communications,NetBanking,PENDING
TXN_B18_000010,BKMS-INV-609204,ORD-BKMS-INV-609204,150775,147869,INR,2026-08-19T19:24:00Z,BookMyShow Bigtree Entertainment,DebitCard,SETTLED
TXN_B18_000011,NYKA-INV-161497,ORD-NYKA-INV-161497,446647,438831,INR,2026-08-20T00:21:00Z,Nykaa E-Retail Pvt Ltd,DebitCard,SETTLED
TXN_B18_000012,BBAS-INV-489654,ORD-BBAS-INV-489654,443393,435229,INR,2026-08-19T09:38:00Z,BigBasket Supermarket Grocery,NEFT,SETTLED
