transaction_id,customer_reference,order_id,gross_amount_minor,net_amount_minor,currency,created_at,counterparty_name,payment_method,status
TXN_B16_000001,BKMS-ORD-228469,ORD-BKMS-ORD-228469,95504,93594,INR,2026-08-17T10:25:00Z,BookMyShow Bigtree Entertainment,UPI,SETTLED
TXN_B16_000002,BKMS-ORD-914249,ORD-BKMS-ORD-914249,237451,232702,INR,2026-08-17T10:40:00Z,BookMyShow Bigtree Entertainment,UPI,SETTLED
TXN_B16_000003,BKMS-ORD-976532,ORD-BKMS-ORD-976532,222769,218314,INR,2026-08-17T10:55:00Z,BookMyShow Bigtree Entertainment,UPI,SETTLED
TXN_B16_000004,AMZN-INV-704770,ORD-AMZN-INV-704770,262385,258001,INR,2026-08-17T22:42:00Z,Amazon Seller Services India,CreditCard,SETTLED
TXN_B16_000005,PAYT-INV-718024,ORD-PAYT-INV-718024,221176,217014,INR,2026-08-17T20:24:00Z,Paytm One97 Communications,NEFT,SETTLED
TXN_B16_000006,ZOMA-ORD-656559,ORD-ZOMA-ORD-656559,191484,187655,INR,2026-08-17T21:05:00Z,Zomato Limited,NEFT,SETTLED
TXN_B16_000007,ZOMA-ORD-194348,ORD-ZOMA-ORD-194348,190341,186535,INR,2026-08-17T21:20:00Z,Zomato Limited,NEFT,SETTLED
TXN_B16_000008,BLNK-INV-144577,ORD-BLNK-INV-144577,439356,432190,INR,2026-08-18T01:29:00Z,Blinkit Commerce Pvt Ltd,CreditCard,SETTLED
TXN_B16_000009,JIOO-ORD-708437,ORD-JIOO-ORD-708437,229039,224459,INR,2026-08-18T05:08:00Z,Reliance Retail / Jio Platforms,NetBanking,SETTLED
TXN_B16_000010,JIOO-ORD-164074,ORD-JIOO-ORD-164074,247427,242479,INR,2026-08-18T05:23:00Z,Reliance Retail / Jio Platforms,NetBanking,SETTLED
TXN_B16_000011,JIOO-ORD-432733,ORD-JIOO-ORD-432733,236560,231829,INR,2026-08-18T05:38:00Z,Reliance Retail / Jio Platforms,NetBanking,SETTLED
TXN_B16_000012,BBAS-ORD-824429,ORD-BBAS-ORD-824429,171722,168288,INR,2026-08-18T07:38:00Z,BigBasket Supermarket Grocery,UPI,SETTLED
TXN_B16_000013,BBAS-ORD-384730,ORD-BBAS-ORD-384730,36730,35996,INR,2026-08-18T07:53:00Z,BigBasket Supermarket Grocery,UPI,SETTLED
TXN_B16_000014,PAYT-INV-246622,ORD-PAYT-INV-246622,106890,104408,INR,2026-08-17T14:13:00Z,Paytm One97 Communications,RTGS,SETTLED
TXN_B16_000015,SWIG-ORD-778995,ORD-SWIG-ORD-778995,210928,206710,INR,2026-08-18T01:06:00Z,Swiggy Bundl Technologies,NetBanking,SETTLED
TXN_B16_000016,SWIG-ORD-679347,ORD-SWIG-ORD-679347,224155,219672,INR,2026-08-18T01:21:00Z,Swiggy Bundl Technologies,NetBanking,SETTLED
TXN_B16_000017,MMTR-INV-993940,ORD-MMTR-INV-993940,88196,86212,INR,2026-08-17T09:42:00Z,MakeMyTrip India Pvt Ltd,CreditCard,SETTLED
TXN_B16_000018,JIOO-INV-722984,ORD-JIOO-INV-722984,236848,233126,INR,2026-08-18T07:51:00Z,Reliance Retail / Jio Platforms,DebitCard,SETTLED
