payout_id,gateway_reference,gross_amount_minor,processing_fee_minor,refund_amount_minor,chargeback_amount_minor,net_settlement_amount_minor,currency,settlement_timestamp,batch_token
PO_2238,RZP-PO-555743,114230,2695,0,0,111535,INR,2026-03-03T17:32:00+00:00,BATCH-555743
PO_2190,RZP-PO-335295,169150,0,0,0,169150,INR,2026-03-11T15:39:00+00:00,BATCH-335295
PO_2317,RZP-PO-620757,227640,0,0,0,227640,INR,2026-03-02T16:53:00+00:00,BATCH-620757
PO_2199,RZP-MAL-836058,20660,500,0,0,20660,INR,2026-03-15T01:12:00+00:00,MAL-836058
PO_2002,RZP-PO-417700,232240,0,0,0,232240,INR,2026-03-07T23:44:00+00:00,BATCH-417700
PO_2196,RZP-PO-383514,55700,0,0,0,55700,INR,2026-03-10T22:40:00+00:00,BATCH-383514
PO_2267,RZP-PO-285838,171840,0,0,0,171840,INR,2026-03-11T15:10:00+00:00,BATCH-285838
PO_2303,RZP-NOISY-864120,17810,356,0,0,17454,INR,2026-03-09T00:07:00+00:00,NOISE-864120
PO_2323,RZP-PO-175073,24530,0,0,0,24530,INR,2026-03-09T15:10:00+00:00,BATCH-175073
PO_2091,RZP-BATCH-794828,131160,2622,0,0,128538,INR,2026-03-02T20:41:00+00:00,BATCH-CONSOL-794828
PO_2311,RZP-PO-206152,233420,0,0,0,233420,INR,2026-03-05T08:20:00+00:00,BATCH-206152
PO_2021,RZP-PO-274643,66580,1571,0,0,65009,INR,2026-03-09T01:08:00+00:00,BATCH-274643
PO_2040,RZP-DELAY-388496,96490,0,0,0,96490,INR,2026-03-08T20:56:00+00:00,DELAY-388496
PO_2154,RZP-PO-298470,144640,3413,0,0,141227,INR,2026-03-19T09:59:00+00:00,BATCH-298470
PO_2220,RZP-PO-599406,25200,0,0,0,25200,INR,2026-03-06T04:38:00+00:00,BATCH-599406
PO_2005,RZP-PO-299838,66790,0,0,0,66790,INR,2026-03-17T06:58:00+00:00,BATCH-299838
PO_2096,RZP-DELAY-724780,100230,0,0,0,100230,INR,2026-03-08T05:15:00+00:00,DELAY-724780
PO_2262,RZP-PO-249421,234560,5535,0,0,229025,INR,2026-03-08T21:14:00+00:00,BATCH-249421
PO_2121,AMBIG-PO-253307,85960,0,0,0,85960,INR,2026-03-19T23:12:00+00:00,
PO_2310,RZP-PO-528150,57700,1361,0,0,56339,INR,2026-03-07T10:31:00+00:00,BATCH-528150
PO_2018,RZP-PO-434605,111630,0,0,0,111630,INR,2026-03-13T18:07:00+00:00,BATCH-434605
PO_2212,RZP-PO-420291,134370,0,0,0,134370,INR,2026-03-07T06:48:00+00:00,BATCH-420291
PO_2232,RZP-DELAY-632142,235530,0,0,0,235530,INR,2026-03-09T04:18:00+00:00,DELAY-632142
PO_2274,RZP-NOISY-675681,5650,113,0,0,5537,INR,2026-03-17T07:44:00+00:00,NOISE-675681
PO_2243,RZP-PO-262071,163540,0,0,0,163540,INR,2026-03-02T19:33:00+00:00,BATCH-262071
