payout_id,gateway_name,gateway_reference,gross_amount_minor,processing_fee_minor,refund_amount_minor,chargeback_amount_minor,net_settlement_amount_minor,currency,settlement_timestamp,batch_token
PO_B04_000001,BillDesk Settlement,BLNK-INV-413988 PO_B04_000001,127698,3154,0,0,124544,INR,2026-08-05T22:20:00Z,BATCH-BLNK-0001
PO_B04_000002,Razorpay Nodal,NYKA-INV-207118 PO_B04_000002,318315,7694,0,0,310621,INR,2026-08-06T12:13:00Z,BATCH-NYKA-0002
PO_B04_000003,Stripe India,MMTR-ORD-569706 MMTR-ORD-462467 MMTR-ORD-857840 BATCH-MMTR-0003,478858,9577,0,0,469281,INR,2026-08-06T16:16:00Z,BATCH-MMTR-0003
PO_B04_000004,Cashfree Escrow,NYKA-ORD-124394 NYKA-ORD-607468 BATCH-NYKA-0004,104076,2081,0,0,101995,INR,2026-08-06T13:44:00Z,BATCH-NYKA-0004
PO_B04_000005,Cashfree Escrow,SWIG-INV-111060 PO_B04_000005,255029,5695,0,0,249334,INR,2026-08-06T13:03:00Z,BATCH-SWIG-0005
PO_B04_000006,Stripe India,MYNT-INV-713333 PO_B04_000006,39199,678,0,0,38521,INR,2026-08-06T18:29:00Z,BATCH-MYNT-0006
PO_B04_000007,Stripe India,TATA-INV-289831 PO_B04_000007,409624,9940,0,0,399684,INR,2026-08-06T10:20:00Z,BATCH-TATA-0007
PO_B04_000008,Razorpay Nodal,UBER-INV-567862 PO_B04_000008,231800,5189,0,0,226611,INR,2026-08-06T07:44:00Z,BATCH-UBER-0008
PO_B04_000009,BillDesk Settlement,UBER-INV-591468 PO_B04_000009,228189,3547,0,0,224642,INR,2026-08-05T21:20:00Z,BATCH-UBER-0009
PO_B04_000010,Stripe India,TATA-INV-926734 PO_B04_000010,40835,943,0,0,39892,INR,2026-08-06T00:50:00Z,BATCH-TATA-0010
PO_B04_000011,BillDesk Settlement,MMTR-INV-638876 PO_B04_000011,105267,2626,0,0,102641,INR,2026-08-05T15:09:00Z,BATCH-MMTR-0011
PO_B04_000012,PayU Enterprise,SWIG-INV-206096 PO_B04_000012,221967,4755,0,0,217212,INR,2026-08-06T20:40:00Z,BATCH-SWIG-0012
PO_B04_000013,Stripe India,BKMS-INV-217798 PO_B04_000013,243068,5115,0,0,237953,INR,2026-08-06T14:48:00Z,BATCH-BKMS-0013
PO_B04_000014,BillDesk Settlement,ZOMA-ORD-530277 ZOMA-ORD-663799 ZOMA-ORD-739359 BATCH-ZOMA-0014,335269,6705,0,0,328564,INR,2026-08-06T18:08:00Z,BATCH-ZOMA-0014
PO_B04_000015,Stripe India,SWIG-INV-574028 PO_B04_000015,115470,2674,0,0,112796,INR,2026-08-07T00:31:00Z,BATCH-SWIG-0015
PO_B04_000016,Razorpay Nodal,SWIG-ORD-286290 SWIG-ORD-781068 BATCH-SWIG-0016,410265,8205,0,0,402060,INR,2026-08-05T22:24:00Z,BATCH-SWIG-0016
PO_B04_000017,Razorpay Nodal,MMTR-INV-882855 PO_B04_000017,29425,694,0,0,28731,INR,2026-08-05T23:44:00Z,BATCH-MMTR-0017
PO_B04_000018,Stripe India,MMTR-INV-877907 PO_B04_000018,329478,7226,0,0,322252,INR,2026-08-06T11:42:00Z,BATCH-MMTR-0018
PO_B04_000019,Razorpay Nodal,TATA-INV-529804 PO_B04_000019,435810,9556,0,0,426254,INR,2026-08-06T04:26:00Z,BATCH-TATA-0019
PO_B04_000020,Stripe India,FLPK-INV-107326 PO_B04_000020,92439,2064,0,0,90375,INR,2026-08-06T10:18:00Z,BATCH-FLPK-0020
PO_B04_000021,Stripe India,MMTR-INV-426958 PO_B04_000021,114821,2820,0,0,112001,INR,2026-08-06T12:22:00Z,BATCH-MMTR-0021
PO_B04_000022,Cashfree Escrow,BLNK-INV-364550 PO_B04_000022,213131,4241,0,0,208890,INR,2026-08-06T19:28:00Z,BATCH-BLNK-0022
PO_B04_000023,BillDesk Settlement,OLAA-INV-891234 PO_B04_000023,33540,611,0,0,32929,INR,2026-08-06T12:49:00Z,BATCH-OLAA-0023
PO_B04_000024,Cashfree Escrow,FLPK-ORD-835169 FLPK-ORD-652444 BATCH-FLPK-0024,350898,7017,0,0,343881,INR,2026-08-06T11:07:00Z,BATCH-FLPK-0024
PO_B04_000025,BillDesk Settlement,MMTR-INV-530391 PO_B04_000025,34000,783,0,0,33217,INR,2026-08-06T21:53:00Z,BATCH-MMTR-0025
PO_B04_000026,Razorpay Nodal,PAYT-INV-738701 PO_B04_000026,323745,7315,0,0,316430,INR,2026-08-05T22:02:00Z,BATCH-PAYT-0026
PO_B04_000027,BillDesk Settlement,ZOMA-EXC-830438-UNRESOLVED,85758,1705,0,0,84053,INR,2026-08-06T22:41:00Z,HOLD-ESCROW
PO_B04_000028,Razorpay Nodal,PHNP-INV-844514 PO_B04_000028,320499,5480,0,0,315019,INR,2026-08-06T07:51:00Z,BATCH-PHNP-0028
PO_B04_000029,Cashfree Escrow,OLAA-INV-392923 PO_B04_000029,389690,7778,0,0,381912,INR,2026-08-06T19:04:00Z,BATCH-OLAA-0029
PO_B04_000030,BillDesk Settlement,SWIG-INV-388763 PO_B04_000030,137525,3403,0,0,134122,INR,2026-08-06T23:36:00Z,BATCH-SWIG-0030
PO_B04_000031,BillDesk Settlement,ZOMA-INV-544238 PO_B04_000031,332440,7591,0,0,324849,INR,2026-08-06T11:28:00Z,BATCH-ZOMA-0031
PO_B04_000032,PayU Enterprise,NYKA-INV-443029 PO_B04_000032,267019,5561,0,0,261458,INR,2026-08-06T06:09:00Z,BATCH-NYKA-0032
PO_B04_000033,PayU Enterprise,BLNK-INV-278088 PO_B04_000033,275179,6688,0,0,268491,INR,2026-08-05T21:21:00Z,BATCH-BLNK-0033
PO_B04_000034,Stripe India,PHNP-INV-943460 PO_B04_000034,232378,4037,0,0,228341,INR,2026-08-06T02:22:00Z,BATCH-PHNP-0034
PO_B04_000035,BillDesk Settlement,PAYT-INV-656775 PO_B04_000035,104648,1897,0,0,102751,INR,2026-08-06T05:39:00Z,BATCH-PAYT-0035
PO_B04_000036,Razorpay Nodal,ZOMA-INV-156485 PO_B04_000036,242709,4131,0,0,238578,INR,2026-08-06T05:15:00Z,BATCH-ZOMA-0036
PO_B04_000037,PayU Enterprise,FLPK-INV-723076 PO_B04_000037,370123,7095,0,0,363028,INR,2026-08-06T15:14:00Z,BATCH-FLPK-0037
PO_B04_000038,PayU Enterprise,ZOMA-ORD-779957 ZOMA-ORD-422174 ZOMA-ORD-256324 BATCH-ZOMA-0038,335251,6705,0,0,328546,INR,2026-08-05T23:09:00Z,BATCH-ZOMA-0038
PO_B04_000039,BillDesk Settlement,JIOO-INV-438584 PO_B04_000039,38224,955,0,0,37269,INR,2026-08-06T02:33:00Z,BATCH-JIOO-0039
PO_B04_000040,Cashfree Escrow,NYKA-INV-314923 PO_B04_000040,125550,2271,0,0,123279,INR,2026-08-06T22:57:00Z,BATCH-NYKA-0040
PO_B04_000041,Stripe India,BBAS-ORD-699775 BBAS-ORD-279204 BATCH-BBAS-0041,291280,5825,0,0,285455,INR,2026-08-06T18:51:00Z,BATCH-BBAS-0041
PO_B04_000042,Razorpay Nodal,MMTR-INV-868095 PO_B04_000042,136832,2914,0,0,133918,INR,2026-08-06T03:10:00Z,BATCH-MMTR-0042
PO_B04_000043,PayU Enterprise,BLNK-INV-465323 PO_B04_000043,132942,2746,0,0,130196,INR,2026-08-06T10:06:00Z,BATCH-BLNK-0043
PO_B04_000044,Razorpay Nodal,JIOO-INV-996858 PO_B04_000044,145483,2422,0,0,143061,INR,2026-08-05T17:11:00Z,BATCH-JIOO-0044
PO_B04_000045,BillDesk Settlement,PAYT-INV-170375 PO_B04_000045,29029,497,0,0,28532,INR,2026-08-06T14:22:00Z,BATCH-PAYT-0045
PO_B04_000046,PayU Enterprise,UBER-INV-649834 PO_B04_000046,188068,4504,0,0,183564,INR,2026-08-06T14:47:00Z,BATCH-UBER-0046
PO_B04_000047,Cashfree Escrow,SWIG-INV-629279 PO_B04_000047,160084,2703,0,0,157381,INR,2026-08-06T06:20:00Z,BATCH-SWIG-0047
PO_B04_000048,Cashfree Escrow,AMZN-ORD-987547 AMZN-ORD-813731 AMZN-ORD-336450 BATCH-AMZN-0048,519977,10399,0,0,509578,INR,2026-08-06T03:22:00Z,BATCH-AMZN-0048
